actor_id	first_name	last_name	film_info
11	Zero	Cage	Action: Dances None, Handicap Boondock, Story Side, Animation: Canyon Stock, Horn Working, Children: Jersey Sassy, Tootsie Pilot, Uptown Young, Comedy: Velvet Terminator, Documentary: Mod Secretary, Thin Sagebrush, Drama: Racer Egg, West Lion, Family: Gandhi Kwai, Foreign: Meet Chocolate, Games: Encino Elf, Moonwalker Fool, Horror: Strangers Graffiti, Music: Oleander Clue, New: Ending Crowds, Godfather Diary, Sports: Honey Ties, Image Princess, Loser Hustler, Travel: Worker Tarzan
12	Karl	Berry	Action: Stagecoach Armageddon, Animation: Dares Pluto, Doors President, Telemark Heartbreakers, Children: Fury Murder, Classics: Arizona Bang, Bound Cheaper, Comedy: Perfect Groove, Sweden Shining, Documentary: Hardly Robbers, Independence Hotel, Smoking Barbarella, Virginian Pluto, Drama: Bunch Minds, Reunion Witches, Family: Date Speed, Foreign: Alley Evolution, Highball Potter, Horror: Arabia Dogma, Bowfinger Gables, Monterey Labyrinth, Reap Unfaithful, Music: Alone Trip, Lucky Flying, New: Cleopatra Devil, Day Unfaithful, Oklahoma Jumanji, Sci-Fi: Connecticut Tramp, Sports: Holes Brannigan, Novocaine Flight, Travel: Leathernecks Dwarfs
13	Uma	Wood	Action: Antitrust Tomatoes, Clueless Bucket, Animation: Clash Freddy, Inch Jet, Snowman Rollercoaster, Children: Cabin Flash, Legally Secretary, Model Fish, Splendor Patton, Classics: Galaxy Sweethearts, Steel Santa, Comedy: Groundhog Uncut, Life Twisted, Lion Uncut, Documentary: Homeward Cider, Metal Armageddon, Wedding Apollo, Drama: Torque Bound, Family: Lolita World, Splash Gump, Foreign: Frida Slipper, Games: Grinch Massage, Moonwalker Fool, Horror: Motions Details, Zhivago Core, Music: Alone Trip, Rebel Airport, New: Attraction Newton, Chinatown Gladiator, Sci-Fi: Daisy Menagerie, Soldiers Evolution, Sports: Driver Annie, Rider Caddyshack, Travel: Boondock Ballroom, Leathernecks Dwarfs
14	Vivien	Bergen	Action: Drifter Commandments, Excitement Eve, Hills Neighbors, Animation: Clash Freddy, Donnie Alley, Children: Gorgeous Bingo, Polish Brooklyn, Classics: Lovely Jingle, Lover Truman, Westward Seabiscuit, Drama: Hobbit Alien, Foreign: Trap Guys, Games: Dirty Ace, Tycoon Gathering, Horror: Drums Dynamite, High Encino, Japanese Run, Kentuckian Giant, Streetcar Intentions, Music: Driving Polish, Enemy Odds, Impact Aladdin, New: Salute Apollo, Stock Glass, Voice Peach, Sports: Cranes Reservoir, Mussolini Spoilers, Saturday Lambs, Tights Dawn, Travel: Italian African
15	Cuba	Olivier	Action: Montezuma Command, Werewolf Lola, Animation: Borrowers Bedazzled, Flying Hook, Luke Mummy, Theory Mermaid, Children: Empire Malkovich, Maker Gables, Noon Papi, Classics: Bound Cheaper, Hyde Doctor, Comedy: Knock Warlock, Family: Apache Divine, Siege Madre, Foreign: Hellfighters Sierra, Kiss Glory, Games: Divine Resurrection, Volcano Texas, Horror: Egypt Tenenbaums, New: Butch Panther, Oklahoma Jumanji, Sci-Fi: Soldiers Evolution, Unforgiven Zoolander, Wonderland Christmas, Sports: Roses Treasure, Travel: Cassidy Wyoming, Fugitive Maguire, Shane Darkness
16	Fred	Costner	Action: Easy Gladiator, Entrapment Satisfaction, Rear Trading, Animation: Carol Texas, Inch Jet, Miracle Virtual, Mission Zoolander, Theory Mermaid, Children: Empire Malkovich, Classics: Magnificent Chitty, Documentary: Brotherhood Blanket, Deliverance Mulholland, Drama: Deceiver Betrayed, Saints Bride, Family: Blanket Beverly, Earring Instinct, Gables Metropolis, Foreign: Impossible Prejudice, Games: Human Graffiti, New: Cleopatra Devil, Eagles Panky, Sci-Fi: Connecticut Tramp, Weekend Personal, Sports: Image Princess, Kramer Chocolate, Sense Greek, Travel: Boondock Ballroom
17	Helen	Voight	Action: Side Ark, Animation: Clash Freddy, Telemark Heartbreakers, Children: Casper Dragonfly, Empire Malkovich, Legally Secretary, Microcosmos Paradise, Stranger Strangers, Sweethearts Suspects, Warlock Werewolf, Classics: Iron Moon, Tadpole Park, Comedy: Caper Motions, Cat Coneheads, Jaws Harry, Documentary: Cupboard Sinners, Independence Hotel, Road Roxanne, Drama: Lies Treatment, Family: Movie Shakespeare, Foreign: Cyclone Family, Kiss Glory, Scissorhands Slums, War Notting, Games: Divine Resurrection, Fever Empire, Horror: Fidelity Devil, Sinners Atlantis, Music: Greatest North, New: Breaking Home, Voice Peach, Sports: Mummy Creatures
18	Dan	Torn	Action: Rear Trading, Animation: Early Home, Children: Empire Malkovich, Tequila Past, Classics: Jerk Paycheck, Lovely Jingle, Sling Luke, Drama: Coneheads Smoochy, Virgin Daisy, Foreign: Innocent Usual, Games: State Wasteland, Music: Insider Arizona, New: Chinatown Gladiator, Flash Wars, Mask Peach, Sci-Fi: Attacks Hate, Sun Confessions, Sports: Elizabeth Shane, Mussolini Spoilers, Tuxedo Mile, Travel: Boiled Dares, Gump Date
19	Bob	Fawcett	Action: Darn Forrester, Animation: Dares Pluto, Lawless Vision, Oscar Gold, Children: Circus Youth, Classics: Dynamite Tarzan, Comedy: Control Anthem, Hate Handicap, Saddle Antitrust, Documentary: Adaptation Holes, Pelican Comforts, Drama: Jacket Frisco, Scorpion Apollo, Family: Homicide Peach, Games: Dazed Punk, Horror: Ace Goldfinger, Music: Personal Ladybugs, Runner Madigan, Taxi Kick, New: Chinatown Gladiator, Jumanji Blade, Run Pacific, Sci-Fi: Raging Airplane, Travel: Leathernecks Dwarfs, Shawshank Bubble
20	Lucille	Tracy	Action: Rear Trading, Animation: Doors President, Classics: Hyde Doctor, Pajama Jawbreaker, Patient Sister, Wasteland Divine, Comedy: Jaws Harry, Documentary: Academy Dinosaur, Egg Igby, Modern Dorado, Sagebrush Clueless, Drama: Chitty Lock, Goldfinger Sensibility, Orient Closer, Family: Bedazzled Married, Dinosaur Secretary, Earring Instinct, Gandhi Kwai, King Evolution, Foreign: Lose Inch, Horror: Lola Agent, Music: Banger Pinocchio, New: Jungle Closer, Loverboy Attacks, Sci-Fi: Cheaper Clyde, Coldblooded Darling, Random Go, Sun Confessions, Travel: Shanghai Tycoon, Window Side
21	Kirsten	Paltrow	Action: Drifter Commandments, Lord Arizona, Animation: Thief Pelican, Comedy: Closer Bang, Pinocchio Simon, Documentary: Chicken Hellfighters, Kill Brotherhood, Road Roxanne, Drama: Conquerer Nuts, Family: Prix Undefeated, Foreign: Agent Truman, Games: Encino Elf, Ladybugs Armageddon, Horror: Pulp Beverly, Sleeping Suspects, Music: Hanover Galaxy, Home Pity, Won Dares, New: Flash Wars, Pluto Oleander, Unbreakable Karate, Sci-Fi: Silverado Goldfinger, Titans Jerk, Sports: Honey Ties, River Outlaw, Travel: Boondock Ballroom, Born Spinal
22	Elvis	Marx	Action: Barefoot Manchurian, Caddyshack Jedi, Sky Miracle, Waterfront Deliverance, Animation: Anaconda Confessions, Borrowers Bedazzled, Gangs Pride, Hook Chariots, Children: Jumping Wrath, Polish Brooklyn, Classics: Lovely Jingle, Right Cranes, Drama: Chitty Lock, Hobbit Alien, Seattle Expecations, Family: Odds Boogie, Games: Jericho Mulan, Roof Champion, Horror: Alabama Devil, Kentuckian Giant, Motions Details, Sci-Fi: Goodfellas Salute, Trojan Tomorrow, Sports: Evolution Alter, Travel: Expecations Natural, Outlaw Hanky
23	Sandra	Kilmer	Action: Bull Shawshank, Darn Forrester, Magnolia Forrester, Animation: Blackout Private, Oz Liaisons, Sons Interview, Children: Gorgeous Bingo, Jumping Wrath, Splendor Patton, Stranger Strangers, Classics: Candidate Perdition, Lovely Jingle, Documentary: Streak Ridgemont, Drama: Savannah Town, Family: Hocus Frida, Foreign: Agent Truman, Hellfighters Sierra, Hotel Happiness, Games: Candles Grapes, State Wasteland, Horror: Sleeping Suspects, Streetcar Intentions, Music: Oleander Clue, Personal Ladybugs, Youth Kick, New: Destiny Saturday, Vanished Garden, Sci-Fi: Divide Monster, Goldmine Tycoon, Identity Lover, Sports: Artist Coldblooded, Driver Annie, Poseidon Forever, Shakespeare Saddle, Travel: Cassidy Wyoming, Speed Suit, Wolves Desire
24	Cameron	Streep	Action: Casualties Encino, Crow Grease, Children: Legally Secretary, Comedy: Connection Microcosmos, Doom Dancing, Freedom Cleopatra, Pure Runner, Documentary: Adaptation Holes, Coast Rainbow, Cupboard Sinners, Drama: Mob Duffel, West Lion, Family: Blues Instinct, Movie Shakespeare, Spinal Rocky, Splash Gump, Foreign: Calendar Gunfight, Chocolate Duck, Games: Seven Swarm, Horror: Elephant Trojan, Panic Club, Sports: Drop Waterfront, Instinct Airport, Travel: Haunted Antitrust
25	Kevin	Bloom	Action: American Circus, Primary Glass, Animation: Double Wrath, Massage Image, Mission Zoolander, Children: Polish Brooklyn, Sabrina Midnight, Comedy: Hate Handicap, Sweden Shining, Drama: Conquerer Nuts, Dalmations Sweden, Family: Date Speed, Foreign: Fiction Christmas, Music: Boogie Amelie, Heavenly Gun, New: Destiny Saturday, Loverboy Attacks, Sci-Fi: Citizen Shrek, Sports: Holes Brannigan, Mummy Creatures, Travel: Trouble Date
26	Rip	Crawford	Action: American Circus, Fool Mockingbird, Forrest Sons, Rings Heartbreakers, Animation: Donnie Alley, Massage Image, Oscar Gold, Children: Hall Cassidy, Polish Brooklyn, Comedy: Lonely Elephant, Tramp Others, Documentary: Madison Trap, Drama: Craft Outfield, Destination Jerk, Saints Bride, Family: Chocolat Harry, Gables Metropolis, Pittsburgh Hunchback, Range Moonwalker, Siege Madre, Foreign: Cyclone Family, Sorority Queen, Horror: Alabama Devil, Arabia Dogma, Texas Watch, Train Bunch, New: Boulevard Mob, Brannigan Sunrise, Frontier Cabin, Oklahoma Jumanji, Sci-Fi: Guys Falcon, Sports: Saturday Lambs, Travel: Bucket Brotherhood
27	Julia	Mcqueen	Action: Amadeus Holy, Mockingbird Hollywood, Animation: Sleepless Monsoon, Telemark Heartbreakers, Wonka Sea, Children: Sweethearts Suspects, Ties Hunger, Documentary: Bonnie Holocaust, Cider Desire, Young Language, Drama: Coneheads Smoochy, Scorpion Apollo, Family: Effect Gladiator, Gladiator Westward, Pilot Hoosiers, Pittsburgh Hunchback, President Bang, Foreign: Kiss Glory, Horror: Arabia Dogma, Freddy Storm, High Encino, Monterey Labyrinth, Spirit Flintstones, Strangers Graffiti, Train Bunch, Music: Hanover Galaxy, Insider Arizona, Jawbreaker Brooklyn, Lucky Flying, Sci-Fi: Open African, Weekend Personal, Sports: Kramer Chocolate, Travel: Games Bowfinger
28	Woody	Hoffman	Action: Entrapment Satisfaction, Midnight Westward, Shrunk Divine, Animation: Duck Racer, Room Roman, Snowman Rollercoaster, Wait Cider, Classics: Alice Fantasia, Gilmore Boiled, Pajama Jawbreaker, Comedy: Knock Warlock, Documentary: Beach Heartbreakers, Wife Turn, Drama: Bunch Minds, Shootist Superfly, Spice Sorority, Family: Atlantis Cause, Pilot Hoosiers, Foreign: Trap Guys, Games: Lambs Cincinatti, Moonwalker Fool, Spy Mile, Music: Birch Antitrust, Telegraph Voyage, New: Breaking Home, Maiden Home, Wyoming Storm, Sci-Fi: None Spiking, Sports: Durham Panky, Loser Hustler, Neighbors Charade
29	Alec	Wayne	Action: Bull Shawshank, Children: Cabin Flash, Magic Mallrats, Uptown Young, Classics: Center Dinosaur, Jeopardy Encino, Summer Scarface, Comedy: Freedom Cleopatra, Hustler Party, Documentary: Smoking Barbarella, Drama: Blade Polish, Coneheads Smoochy, Encounters Curtain, Virgin Daisy, Family: Effect Gladiator, Foreign: Fiction Christmas, Games: Outbreak Divine, Music: Chamber Italian, Insider Arizona, New: Destiny Saturday, Hours Rage, Money Harold, Sci-Fi: Express Lonely, Identity Lover, Reign Gentlemen, Sports: Aladdin Calendar, Joon Northwest, Liberty Magnificent, Travel: Fugitive Maguire
30	Sandra	Peck	Action: Excitement Eve, Firehouse Vietnam, Rings Heartbreakers, Stagecoach Armageddon, Classics: Gilbert Pelican, Documentary: Academy Dinosaur, Virginian Pluto, Drama: Beethoven Exorcist, Family: Bang Kwai, Dumbo Lust, Foreign: Matrix Snowman, Horror: Family Sweet, Music: Silence Kane, New: Birds Perdition, Flash Wars, Sci-Fi: Beverly Outlaw, Sports: Dude Blindness, Travel: Boondock Ballroom, Enough Raging
31	Sissy	Sobieski	Action: Shrunk Divine, Sky Miracle, Animation: Telemark Heartbreakers, Comedy: Crazy Home, Ferris Mother, Wisdom Worker, Documentary: Coast Rainbow, Drama: Chitty Lock, Gone Trouble, Mob Duffel, Rocky War, Family: Prix Undefeated, Foreign: Greek Everyone, Hoosiers Birdcage, New: Clyde Theory, Sci-Fi: Open African, Travel: Born Spinal, Factory Dragon
32	Tim	Hackman	Animation: Packer Madigan, Children: Uptown Young, Classics: Lights Deer, Snatchers Montezuma, Documentary: Cupboard Sinners, Deep Crusade, Homeward Cider, Drama: Harold French, Mob Duffel, Family: Feud Frogmen, Foreign: Calendar Gunfight, Hoosiers Birdcage, Meet Chocolate, Pearl Destiny, Horror: Behavior Runaway, Music: Wizard Coldblooded, New: Chaplin License, Sci-Fi: Fiddler Lost, Sports: Crusade Honey, Mummy Creatures, Peach Innocent, Travel: Boiled Dares, Bucket Brotherhood
33	Milla	Peck	Action: Barefoot Manchurian, Dream Pickup, Midnight Westward, Animation: Clash Freddy, Juggler Hardly, Children: Daughter Madigan, Robbers Joon, Wrong Behavior, Classics: Prejudice Oleander, Comedy: Rushmore Mermaid, Documentary: Raiders Antitrust, Drama: Jacket Frisco, Necklace Outbreak, Seattle Expecations, Foreign: Calendar Gunfight, Games: Feathers Metal, Horror: Rock Instinct, Temple Attraction, Watership Frontier, New: Fatal Haunted, Sci-Fi: Whisperer Giant, Sports: Chance Resurrection, Peach Innocent, Travel: Teen Apollo
34	Audrey	Olivier	Action: Side Ark, Children: Stranger Strangers, Classics: Loathing Legally, Volume House, Comedy: Caper Motions, Control Anthem, Knock Warlock, Documentary: French Holiday, Halloween Nuts, Ship Wonderland, Drama: Coneheads Smoochy, Family: Atlantis Cause, Foreign: Kane Exorcist, Usual Untouchables, Whale Bikini, Games: Human Graffiti, Music: Dorado Notting, New: Boulevard Mob, Redemption Comforts, Sting Personal, Sports: Gunfighter Mussolini, Peak Forever, Sense Greek, Squad Fish, Travel: Cassidy Wyoming
35	Judy	Dean	Action: Quest Mussolini, Rings Heartbreakers, Rugrats Shakespeare, Animation: Nash Chocolat, Documentary: Modern Dorado, Foreign: Ballroom Mockingbird, Cyclone Family, Rocketeer Mother, Horror: Arachnophobia Rollercoaster, Sci-Fi: Soldiers Evolution, Sports: Aladdin Calendar, Drop Waterfront, Gunfighter Mussolini, Mussolini Spoilers, Travel: Trouble Date
36	Burt	Dukakis	Action: Truman Crazy, Animation: Double Wrath, Menagerie Rushmore, Classics: Jerk Paycheck, Right Cranes, Comedy: Heaven Freedom, Documentary: Homeward Cider, Intolerable Intentions, Family: Dinosaur Secretary, King Evolution, Range Moonwalker, Foreign: Alien Center, Greek Everyone, Kane Exorcist, Games: Grinch Massage, Gun Bonnie, Wanda Chamber, Horror: Commandments Express, Motions Details, Reap Unfaithful, Music: Home Pity, New: Ending Crowds, Money Harold, Sci-Fi: Blindness Gun, Guys Falcon, Random Go, Sports: Image Princess, Talented Homicide, Travel: Valentine Vanishing
37	Val	Bolger	Action: Amadeus Holy, Drifter Commandments, Primary Glass, Animation: Canyon Stock, Watch Tracy, Children: Jersey Sassy, Maker Gables, Model Fish, Stranger Strangers, Classics: Patient Sister, Prejudice Oleander, Comedy: Caper Motions, Fireball Philadelphia, Lonely Elephant, Mallrats United, Documentary: United Pilot, Wedding Apollo, Drama: Chitty Lock, Dalmations Sweden, Paths Control, Foreign: Intrigue Worst, Town Ark, Games: Lambs Cincinatti, Stampede Disturbing, Horror: Carrie Bunch, Elephant Trojan, Music: Alaska Phantom, Jawbreaker Brooklyn, Youth Kick, Sci-Fi: Metropolis Coma, Stallion Sundance, Sports: Aladdin Calendar, Dude Blindness, Travel: Shawshank Bubble, Working Microcosmos
38	Tom	Mckellen	Action: Caddyshack Jedi, Kissing Dolls, Shrunk Divine, Animation: Club Graffiti, Desire Alien, Donnie Alley, Mission Zoolander, Children: Idols Snatchers, Magic Mallrats, Stranger Strangers, Comedy: Freedom Cleopatra, Documentary: Egg Igby, Drama: Necklace Outbreak, Spice Sorority, Family: Indian Love, Foreign: Gentlemen Stage, Purple Movie, Horror: Analyze Hoosiers, Tarzan Videotape, Music: Legend Jedi, New: Idaho Love, Sci-Fi: Frisco Forrest, Stallion Sundance, Sports: Congeniality Quest, Neighbors Charade
39	Goldie	Brody	Animation: Inch Jet, Pride Alamo, Punk Divorce, Children: Comancheros Enemy, Classics: Holy Tadpole, Snatchers Montezuma, Documentary: Mod Secretary, Drama: Pity Bound, Sea Virgin, Family: Bilko Anonymous, Jason Trap, Prix Undefeated, Robbery Bright, Foreign: Everyone Craft, Hoosiers Birdcage, Pollock Deliverance, Horror: Desert Poseidon, High Encino, New: Flamingos Connecticut, Unbreakable Karate, Sci-Fi: Bingo Talented, Daisy Menagerie, Married Go, Spirited Casualties, Sports: Exorcist Sting, Mosquito Armageddon, Mummy Creatures, Travel: Outlaw Hanky
40	Johnny	Cage	Action: Suspects Quills, Animation: Desire Alien, Flying Hook, Thief Pelican, Classics: Roots Remember, Comedy: Rushmore Mermaid, Velvet Terminator, Documentary: Academy Dinosaur, Intolerable Intentions, Drama: Bunch Minds, Hanging Deep, Lies Treatment, Foreign: Alamo Videotape, Catch Amistad, Games: Roxanne Rebel, Spy Mile, Horror: Arabia Dogma, Karate Moon, Rock Instinct, Simon North, New: Clyde Theory, Vampire Whale, Sci-Fi: Connecticut Tramp, Graffiti Love, Hamlet Wisdom, Reign Gentlemen, Sports: Instinct Airport, Travel: Disciple Mother, Superfly Trip
41	Jodie	Degeneres	Action: Crow Grease, Darn Forrester, Dream Pickup, Classics: Beast Hunchback, Dracula Crystal, Comedy: Closer Bang, Paradise Sabrina, Documentary: Cider Desire, French Holiday, Madison Trap, Drama: Diary Panic, Vietnam Smoochy, Family: Remember Diary, Foreign: Brooklyn Desert, Pet Haunting, Games: Moonshine Cabin, Horror: Affair Prejudice, Simon North, Music: Boogie Amelie, Reds Pocus, New: Fatal Haunted, Sci-Fi: Beverly Outlaw, Daisy Menagerie, Trojan Tomorrow, Sports: Groove Fiction, Pickup Driving, Sense Greek, Travel: Shanghai Tycoon, Tomatoes Hellfighters
42	Tom	Miranda	Animation: Sunrise League, Children: Labyrinth League, Comedy: Knock Warlock, Memento Zoolander, Valley Packer, Documentary: Pocus Pulp, Rainbow Shock, Drama: Translation Summer, Family: Chasing Fight, Feud Frogmen, Super Wyoming, Foreign: Kiss Glory, Rocketeer Mother, Games: Madre Gables, Suit Walls, Horror: Analyze Hoosiers, Lola Agent, Love Suicides, Patton Interview, Tarzan Videotape, Undefeated Dalmations, Music: Freaky Pocus, Personal Ladybugs, New: Flamingos Connecticut, Sci-Fi: Silverado Goldfinger, Sports: Tights Dawn, Travel: Outlaw Hanky
43	Kirk	Jovovich	Action: Amadeus Holy, Barefoot Manchurian, Bull Shawshank, Animation: Borrowers Bedazzled, Dogma Family, Forrester Comancheros, Children: Fury Murder, Murder Antitrust, Splendor Patton, Classics: Conspiracy Spirit, Comedy: Element Freddy, Heaven Freedom, Drama: Spice Sorority, Wardrobe Phantom, Family: Chocolat Harry, Gladiator Westward, Grease Youth, Network Peak, Rush Goodfellas, Foreign: Lost Bird, Mulholland Beast, Music: Clue Grail, Insider Arizona, Sports: Artist Coldblooded, Mosquito Armageddon, Tuxedo Mile
44	Nick	Stallone	Action: Speakeasy Date, Women Dorado, Children: Tequila Past, Tootsie Pilot, Comedy: Doom Dancing, Mulan Moon, Documentary: Beach Heartbreakers, Wagon Jaws, Drama: Virgin Daisy, Family: Braveheart Human, Effect Gladiator, Games: Monsoon Cause, Private Drop, Horror: Strangers Graffiti, Zhivago Core, New: Butterfly Chocolat, Jumanji Blade, Runaway Tenenbaums, Varsity Trip, Sports: Congeniality Quest, Flatliners Killer, Holes Brannigan, Mosquito Armageddon, Talented Homicide, Trading Pinocchio, Travel: Boiled Dares, Born Spinal, Horror Reign, Shanghai Tycoon, Teen Apollo
45	Reese	Kilmer	Action: Campus Remember, Animation: Alter Victory, Forrester Comancheros, Tracy Cider, Children: Beneath Rush, Classics: Jerk Paycheck, Lover Truman, Tomorrow Hustler, Comedy: Knock Warlock, Pinocchio Simon, Wisdom Worker, Documentary: Coast Rainbow, Deep Crusade, Hawk Chill, United Pilot, Family: Secrets Paradise, Slums Duck, Willow Tracy, Foreign: Crystal Breaking, Highball Potter, Intrigue Worst, Town Ark, Games: Candles Grapes, Lambs Cincinatti, Horror: Behavior Runaway, Music: Scalawag Duck, Silence Kane, New: Unbreakable Karate, Sci-Fi: Random Go, Sports: Cranes Reservoir, Instinct Airport, Kramer Chocolate
46	Parker	Goldberg	Action: Ark Ridgemont, Worst Banger, Animation: Inch Jet, Sons Interview, Children: Scarface Bang, Ties Hunger, Classics: Right Cranes, Comedy: Jaws Harry, Documentary: Hawk Chill, Drama: Savannah Town, Family: Spinal Rocky, Foreign: Meet Chocolate, Horror: Spirit Flintstones, Music: Balloon Homeward, Confidential Interview, Lucky Flying, Wizard Coldblooded, New: Idaho Love, Loverboy Attacks, Sci-Fi: Express Lonely, Fish Opus, Sports: Driver Annie, Instinct Airport, Squad Fish
47	Julia	Barrymore	Action: Berets Agent, Animation: Argonauts Town, Classics: Jerk Paycheck, Comedy: Groundhog Uncut, Documentary: Mighty Luck, Pelican Comforts, Road Roxanne, Wife Turn, Drama: Coneheads Smoochy, Shootist Superfly, Unfaithful Kill, Virgin Daisy, Family: Bang Kwai, Effect Gladiator, Foreign: Scissorhands Slums, Games: Lambs Cincinatti, Horror: Gaslight Crusade, Rock Instinct, New: Angels Life, Troopers Metal, Sci-Fi: Unforgiven Zoolander, Sports: Secretary Rouge, Travel: Disciple Mother, Shining Roses
